path,bytes,sha256,formal_expert_output
01_protocol.md,586,44EC9E4C76FFFCD2B8B0D555BEB15867C96D43C00DE87CF63038D146E0BA50DB,False
02_spot_full_canonical_audit.csv,566,2EA077CAC1EAD201C927B943E539AE151643D02F2A1E4A98DC8CD086837F8F69,False
03_spot_workload_pressure.csv,2228761,E481A86AF2976AE7CAD5EBAB99128FF93CB0C63E60C482BFBF11241AE8940275,False
04_spot_duration_tail.csv,5944,743FF93A4571E3CC319841219154EB82BA9A7308CA78C5016890C69EF99750A5,False
05_spot_static_feasibility.csv,3932,E9DE41B1E3F67D1DBE1ED083759C65A1D529D8C01140B0826B9847CE8D6E2490,False
06_spot_temporal_state_audit.md,1086,2C440441D3666569F6359B6F58D1A534AA6B5F2228F55F59F5164CE176342A59,False
07_alibaba2020_v2_v3_alignment.csv,1051,3C314529E2938D9DA3F4D8F1F6BB843B4AA55BE1D4A2BE2F4C4F1FE7501989FB,False
08_alibaba2020_alignment_report.md,639,9E7FA2C62ED700E6E33915A34DEE23E2CB73D0A28004E2E6B6C4F2C709A2A13E,False
09_scenario_a_statistics.csv,564,E2CF5028FEC43D888E5A72084DA003CE92DA5CC9E2777A178584D59B8A321CEA,False
10_scenario_b_statistics.csv,4329,2DD0D55EB2EAABF774DC710A1E9AB466FE78FD2E8DE83E23B90375C2B4C4A7A1,False
11_h1_oracle_behavior.csv,379,4620B8CA0CC2679C1EE321780B9B659327804DC6BBB40DB9F59F4A159B209946,False
12_placement_disagreement.csv,231,23420F94284743CE57EA2A7E501AE26CC8C28C634DD664A75BE4E384E50F7862,False
13_defer_analysis.csv,260,0D851F06CD2DCAA9ACEFF77F563469A6058A5EF14C6E9AA0473E17CE0AF9A997,False
14_risk_analysis.csv,307,CCF218B12EAFE6251A2BC8CB1EE5E91EA4515D07F2EFA787FA6AD0B7A75FB2AC,False
15_priority_analysis.csv,512,51D31128DF2019298E50D86D3C2AB2666D3900095A1332A541B8AAC3517D3B8A,False
16_duration_error_analysis.csv,1330,7E5BE3EFAADDDF30F05B38D6794B01585E10379CF7CF040CEAD34C1667EA2CEE,False
17_information_contract.md,776,8567108DB8CCC31199CFCFF9E57E0A2EB68C80CCB3BA4739C3A7BDD37FDD269A,False
18_field_provenance.csv,4178,EED7295AC79B0C18417DA9A56AD372AD75AF2CE75CA36C56876E7B5D82FF5DD8,False
19_split_manifest.csv,12957,FEC6BC81F55FFE92625C17905E703E7A8A04BDF0CDF975E796D6CB18293DCE37,False
20_solver_quality.csv,365,5457137D6D2D4A6B111026A86249990D042458890A6055FC6843FA2ED3B8577E,False
21_cross_dataset_comparison.csv,670,86AF8EECB6E4397204DD75AF6CE93CCA519D319BF0004DDF4F390D6B495AEF87,False
22_information_leakage_audit.md,600,ADDEC8D930FE4A3B29A7537215427324E66E458F4CDF5D6DDB7CF74A99A59D6A,False
24_tests.md,193,311FE5A7A05A67FEC96C2E997297A659DDB8107F093E0574C7351340EA5E76C7,False
25_final_diagnosis.md,695,A708F093BCB32235EFAFC928A395464AB05D95D66C54F3B5A9A31792DCA11C9D,False
26_summary.md,784,18A9F8955E2DE8A45E5666A55B5703C1922F35206E6774673555FA5A505EA321,False
configs/mpc_expert_dataset_v3.yaml,3739,17C7757D62806E5B1FF3ED168D38C173B702FD7A119F027B8D6328AA80692C5A,False
dataset/scenario_a/BLOCKED.md,146,8CAAE46CBBC4BF38DC0650B71744DD043B746BC8376F0E412FAD999091993E75,False
dataset/scenario_b/BLOCKED.md,146,8CAAE46CBBC4BF38DC0650B71744DD043B746BC8376F0E412FAD999091993E75,False
plots/README.md,78,6899A18925C4259E2EC3122FB794771C6676120FA382C7DF25040EE667F5F6F4,False
preflight/deployable_current/spot_tasks.parquet,7606130,75B76A7EB81F79BA4C4A32D1CCC2E41D4B747CB674EB515BED23AF3DD0BB3C98,False
preflight/simulator_only/spot_truth.parquet,4893228,CDB9880EB3134DE4FD53C45C5C90ED7CE5963938CEB885D2416C17525993B483,False
preflight/spot_full_canonical.parquet,10465984,17BDE4F43208422843339BAAECF6BD2F2360ABB5A9C35EC7972C55474D234BFA,False
preflight/spot_static_feasibility.parquet,2530422,54987C451A1ACBC750766539BD0DD1D3807153401F5FC682453D53BD49B5AE42,False
privileged_future/scenario_a/BLOCKED.md,146,8CAAE46CBBC4BF38DC0650B71744DD043B746BC8376F0E412FAD999091993E75,False
privileged_future/scenario_b/BLOCKED.md,146,8CAAE46CBBC4BF38DC0650B71744DD043B746BC8376F0E412FAD999091993E75,False
